i,Segment (i),Core,Muscle,Fat,Skin,Metf(i)
1,Head,16.843,0.217,0.109,0.131,0.000
2,Chest,21.182,2.537,0.568,0.179,0.091
3,Back,18.699,2.537,0.501,0.158,0.080
4,Pelvis,8.050,4.067,0.804,0.254,0.129
5,L-shoulder,0.181,0.423,0.610,0.050,0.026
6,R-shoulder,0.181,0.423,0.610,0.050,0.026
7,L-arm,0.094,0.220,0.031,0.026,0.014
8,R-arm,0.094,0.220,0.031,0.026,0.014
9,L-hand,0.045,0.022,0.023,0.050,0.005
10,R-hand,0.045,0.022,0.023,0.050,0.005
11,L-thigh,0.343,0.824,0.151,0.122,0.201
12,R-thigh,0.343,0.824,0.151,0.122,0.201
13,L-leg,0.102,0.220,0.035,0.023,0.099
14,R-leg,0.102,0.220,0.035,0.023,0.099
15,L-foot,0.122,0.035,0.056,0.100,0.005
16,R-foot,0.122,0.035,0.056,0.100,0.005
17,Total,0,0,0,84.652,1.000
