i,Segment (i),Core-muscle,Muscle-fat,Fat-skin
1,Head,1.601,13.224,16.008
2,Chest,0.616,2.100,9.164
3,Back,0.594,2.018,8.700
4,Pelvis,0.379,1.276,5.104
5,L-shoulder,0.441,2.946,7.308
6,R-shoulder,0.441,2.946,7.308
7,L-arm,0.244,2.227,7.888
8,R-arm,0.244,2.227,7.888
9,L-hand,2.181,6.484,5.858
10,R-hand,2.181,6.484,5.858
11,L-thigh,2.401,4.536,30.160
12,R-thigh,2.401,4.536,30.160
13,L-leg,1.891,2.656,7.540
14,R-leg,1.891,2.656,7.540
15,L-foot,8.120,10.266,8.178
16,R-foot,8.120,10.266,8.178
