i,Segment (i),Core,Muscle,Fat,Skin
1,Head,36.9,36.1,35.8,35.6
2,Chest,36.5,36.2,34.5,33.6
3,Back,36.5,35.8,34.4,33.2
4,Pelvis,36.3,35.6,34.5,33.4
5,L-shoulder,35.8,34.6,33.8,33.4
6,R-shoulder,35.8,34.6,33.8,33.4
7,L-arm,35.5,34.8,34.7,34.6
8,R-arm,35.5,34.8,34.7,34.6
9,L-hand,35.4,35.3,35.3,35.2
10,R-hand,35.4,35.3,35.3,35.2
11,L-thigh,35.8,35.2,34.4,33.8
12,R-thigh,35.8,35.2,34.4,33.8
13,L-leg,35.6,34.4,33.9,33.4
14,R-leg,35.6,34.4,33.9,33.4
15,L-foot,35.1,34.9,34.4,33.9
16,R-foot,35.1,34.9,34.4,33.9
17,Central-blood,36.7,36.7,36.7,36.7
