i,Segment (i),SKINR(i),SKINS(i),SKINV(i),SKINC(i),Chit(i)
1,Head,0.070,0.081,0.32,0.022,0.020
2,Chest,0.149,0.146,0.098,0.065,0.258
3,Back,0.132,0.129,0.086,0.065,0.227
4,Pelvis,0.212,0.206,0.138,0.065,0.365
5,L-shoulder,0.023,0.051,0.031,0.022,0.004
6,R-shoulder,0.023,0.051,0.031,0.022,0.004
7,L-arm,0.012,0.026,0.016,0.022,0.026
8,R-arm,0.012,0.026,0.016,0.022,0.026
9,L-hand,0.092,0.016,0.061,0.152,0.000
10,R-hand,0.092,0.016,0.061,0.152,0.000
11,L-thigh,0.050,0.073,0.092,0.022,0.023
12,R-thigh,0.050,0.073,0.092,0.022,0.023
13,L-leg,0.025,0.036,0.023,0.022,0.012
14,R-leg,0.025,0.036,0.023,0.022,0.012
15,L-foot,0.017,0.018,0.050,0.152,0.000
16,R-foot,0.017,0.018,0.050,0.152,0.000
17,Total,1.000,1.000,1.000,1.000,1.000
